ID,Question,Answer,Score,Age,Gender,Orig_ID
88,Why did Harold pick up the cat?,He thought the cat looked lost.,1,10,Boy,
89,Why does Harold fan Mildred?,He's trying to comfort her.,1,9,Boy,
90,Why did the men hide?,The men hid to avoid getting caught.,0,8,Girl,
91,What is the deliveryman feeling and why?,He's happy because he finished all his deliveries.,0,13,Boy,
92,Why did the driver lock Harold in the van?,The driver didn't realize Harold was still inside.,0,12,Girl,
93,What does the woman think?,The woman thinks they should be cautious.,2,10,Girl,
94,Why did Harold pick up the cat?,He thought the cat looked lost.,0,8,Boy,
95,What is the deliveryman feeling and why?,He's happy because he finished all his deliveries.,0,9,Girl,
96,What is the deliveryman feeling and why?,The deliveryman is frustrated because he's running late.,0,11,Girl,
97,Why did the men hide?,The men hid to avoid getting caught.,0,12,Boy,
98,Why did Harold pick up the cat?,He thought the cat looked lost.,1,11,Boy,
99,What is the deliveryman feeling and why?,The deliveryman is frustrated because he's running late.,0,13,Girl,
100,Why did the driver lock Harold in the van?,He was locked in by mistake.,2,13,Girl,
